"Sweet Caroline","Diamond","2",18
"Hello Dolly","Hermann","2",19
"Dixieland for Band","Herrmannsdörfer","2",20
"Birdland","Zawinul","2",21
"Mack the Knife","Weill","2",22
"Tuxedo Junction","Hawkins","2",23
"Pennsylvania 6500","Miller","2",24
"Chattanooga Choo Choo","Warren","2",25
"Brass Machine","Taylor","2",26
"Chrildren of Sanchez","Mangione","2",27
"Rauschende Birken","Kaucky","3",12
"Tschechische Polkas","???","3",13
"Derby Time","Stich","3",14
"Rock it","Gäble","3",15
"Time to relax","Schneider","3",16
"Viva Brasil","Schneider","3",17
"Adebars Reise","Götz","3",18
"Stelldichein in Oberkrain","Rundel","3",19
"The Best of Herb Albert","Auer-Ansbach","3",20
"Samba Dancing","Waldo","3",21
"Festival Overture","van der Heide","3",22
"Rhapsodie Provencale","Vlak","3",23
"Highlights from Harry Potter","Williams","3",24
"Theme from JAG","Broughton","3",25
"The Phantom of the Opera","Lloyd Webber","3",26
"Mit Pfiff und Schwung","Pleyer","16",8
"Grand-Prix","Pleyer","16",8
"West Side Story","Bernstein","16",9
"Fish and Monkey","Wirth","16",10
"Wenn wir so musizieren","Conzelmann","16",22
"La Montanara","Ortelli","16",23
"Mährische Geschichten","Klostermann","16",24
"Beschwingt gehts los","Schwarz","16",25
"A little Concert Suite","???","16",28
"Two Movements","???","16",29
"See you later Alligator","???","16",30
"Heut spielt die Blasmusik","???","16",31
